Instance_number,c,d,e,Cluster
114,5.1,2.4,Iris-virginica,cluster2
115,5.3,2.3,Iris-virginica,cluster2
116,5.5,1.8,Iris-virginica,cluster0
117,6.7,2.2,Iris-virginica,cluster2
118,6.9,2.3,Iris-virginica,cluster2
119,5,1.5,Iris-virginica,cluster0
120,5.7,2.3,Iris-virginica,cluster2
121,4.9,2,Iris-virginica,cluster0
122,6.7,2,Iris-virginica,cluster2
123,4.9,1.8,Iris-virginica,cluster0
124,5.7,2.1,Iris-virginica,cluster2
125,6,1.8,Iris-virginica,cluster0
126,4.8,1.8,Iris-virginica,cluster0
127,4.9,1.8,Iris-virginica,cluster0
128,5.6,2.1,Iris-virginica,cluster2
129,5.8,1.6,Iris-virginica,cluster0
130,6.1,1.9,Iris-virginica,cluster2
131,6.4,2,Iris-virginica,cluster2
132,5.6,2.2,Iris-virginica,cluster2
133,5.1,1.5,Iris-virginica,cluster0
134,5.6,1.4,Iris-virginica,cluster0
135,6.1,2.3,Iris-virginica,cluster2
136,5.6,2.4,Iris-virginica,cluster2
137,5.5,1.8,Iris-virginica,cluster0
138,4.8,1.8,Iris-virginica,cluster0
139,5.4,2.1,Iris-virginica,cluster2
140,5.6,2.4,Iris-virginica,cluster2
141,5.1,2.3,Iris-virginica,cluster2
142,5.1,1.9,Iris-virginica,cluster0
143,5.9,2.3,Iris-virginica,cluster2
144,5.7,2.5,Iris-virginica,cluster2
145,5.2,2.3,Iris-virginica,cluster2
146,5,1.9,Iris-virginica,cluster0
147,5.2,2,Iris-virginica,cluster0
148,5.4,2.3,Iris-virginica,cluster2
149,5.1,1.8,Iris-virginica,cluster0
